School name
Tsinghua University
Peking University
Fudan University
Shanghai Jiao Tong University 
Zhejiang University
University of Science and Technology of China
Nanjing University
Wuhan University
Tongji University
Harbin Institute of Technology
Sun Yat-Sen University
Beijing Normal University
Xian Jiaotong University
Southern University of Science and Technology
Nankai University
Shanghai University 
Tianjin University
Beijing Institute of Technology
Huazhong University of Science and Technology
Xiamen University
University of Science and Technology Beijing
Beihang University
South China University of Technology
Shandong University
Jilin University
Southeast University
East China Normal University
Sichuan University
Northwestern Polytechnical University
China University of Geosciences Wuhan
Renmin University of China
Dalian University of Technology
East China University of Science and Technology
Hunan University
"Jinan University, Guangdong"
Shenzhen University
Beijing University of Technology
Central South University
Soochow University
China Agricultural University
Nanjing University of Science and Technology
University of Electronic Science and Technology of China
Chongqing University
Northwest University
Beijing Jiaotong University
Beijing Foreign Studies University
Harbin Engineering University
Lanzhou University
Shanghai International Studies University
Wuhan University of Technology
Xian Jiaotong Liverpool University
Anhui Agricultural University
Ahhui Medical University
Anhui Normal Uiversity
Anhui University
Anshan Normal University Liaoning China
Beihua University
Beijing Film Academy
Beijing Forestry University
Beijing International Studies University
Beijing Language and Culture University
Beijing Sport University
Beijing Technology and Business University
Beijing University of Chemical Technology
Beijing University of Chinese Medicine
Beijing University of Posts and Telecommunications
Bohai University
Capital Institute of Physical Education
Capital Medical University
Capital Normal University
Capital University of Economics & Business
Central Academy of Fine Arts
Central China Normal University
Central Conservatory of Music
Central University of Finance and Economics
changan University
Changchun University
Changchun University of Chinese Medicine
Changchun University of Science and Technology
Changsha University of Science and Technology
Chengdu University of Traditional Chinese Medicine
China Academy of Art
China Conservatory
China Foreign Affairs University
China Medical University
China Pharmaceutical University
China Three Gorges University
China University of Political Science and Law
China University of Geosciences (Beijing)
China University of Mining and Technology
China University of Petroleum
China University of Petroleum (Huadong)
China Youth University of Political Studies
Chongqing Jiaotong University
Chongqing Medical University
Chongqing University of Posts and Telecommunications
Communication University of China
Dalian Jiaotong University
Dalian Maritime University
Dalian Medical University
Dalian Polytechnic University
Dalian University of Foreign Languages
Donghua University
East China University of Political Science and Law
Fujian Agriculture and Forestry University
Fujian Medical University
Fujian Normal University
Fujian University of Technology
Fuzhou University
Gannan Normal University
Guangdong University of Foreign Studies
Guangxi Medical University
Guangxi Normal University
Guangxi Techers Education University
Guangxi University
Guangxi University for Nationalities
Guangzhou Medical University
Guangzhou University of Chinese Medicine
Guilin University of Electronic Technology
Guizhou Minzu University
Guizhou Normal University
Guizhou University
Hainan Normal University
Hainan University
Hangzhou Normal University
Harbin Medical University
Harbin Normal University
Harbin University of Science and Technology
Hebei Medical University
Hebei Normal University
Hebei University
Hebei University of Economics and Business
Hebei University of Technology
Hefei University
Hefei University of Technology
Heihe University
Heilongjiang University
Heilongjiang University of Chinese Medicine
Henan University
Henan University of TCM
Henan University of Technology
Hohai University
Huangshan University
Huazhong Agricultural University
Hubei University
Hubei University of Chinese Medicine
Hunan Normal University
Inner Mongolia Agricultural University
Inner Mongolia Normal University
Inner Mongolia University
Inner Mongolia University for The Nationalities
Inner Mongolia University of Technology
Jiangnan University
Jiangsu University
Jiangxi Agricultural University
Jiangxi Normal University
Jiangxi University of Finance and Economics
Jiangxi University of Traditional Chinese Medicine
Jilin Agricultural University
Jilin Normal University
Jingdezhen Ceramic Institute
Kunming Medical University
