School name
The University of Melbourne
The University of Sydney
Monash University
The University of New South Wales (UNSW)
Australian National University (ANU) 
The University of Queensland
RMIT University
Deakin University
The University of Adelaide
University of Technology Sydney
Macquarie University 
Western Sydney University
Curtin University 
The University of Western Australia (UWA)
The University of Newcastle 
University of Wollongong
Griffith University 
La Trobe University
University of South Australia
Swinburne University of Technology
University of Tasmania
Charles Sturt University
Flinders University
Edith Cowan University
Murdoch University
Victoria University
Queensland University of Technology (QUT)
"University of New England, Australia"
Southern Cross University
Australian Catholic University 
University of Southern Queensland
Central Queensland University
University of Canberra
Bond University
Federation University Australia
University of the Sunshine Coast
Charles Darwin University
The University of Notre Dame Australia
James Cook University
