School name
National University of Singapore
Nanyang Technological University
Singapore University of Technology and Design
The University of Tokyo
Kyoto University
Tokyo Institute of Technology
Osaka University
Tohoku University
Nagoya University
Kyushu University 
Hokkaido University
Waseda University
Keio University
Seoul National University
Korea Advanced Institute of Science & Technology (KAIST)
Pohang University of Science and Technology (POSTECH)
Korea University
Sungkyunkwan University (SKKU)
Yonsei University
National Taiwan University (NTU)
National Tsing Hua University
National Cheng Kung University
National Chiao Tung University
National Taiwan University of Science and Technology
Chulalongkorn University
Mahidol University
Chiang Mai University
Universiti Malaya (UM)
Universiti  Putra Malaysia (UPM)
Universidad Nacional Autonoma de Mexico (UNAM)
Swiss Federal Institute of Technology Zurich (ETHZ)
Swiss Federal Institute of Technology Lausanne (EPFL)
University of Zurich
University of Geneva
University of Bern
University of Basel
University of Lausanne
Technical University of Munchen
Ludwig-Maximilians-Universitat of Munchen (LMU)
Ruprecht-Karls-Universitat of Heidelberg
Humboldt University of Berlin
Freie Universitaet Berliln (Free University of Berlin)
Karlsruhe Institute of Technology (KIT)
RWTH Aachen University
Technische Universitat Berlin (Technical University of Berlin)
Albert-Ludwigs-Universitaet Freiburg (University of Freiburg)
Eberhard Karls Universitat Tubingen (University of Tubingen)
Paris-Sorbonne University
Ecole Polytechnique
PSL Research University Paris
Ecole normale superieure de Lyon
Centrale Supelec
University of Barcelona
Autonomous University of Madrid
Complutense University of Madrid
Autonomous University of Barcelona
University of Navarra
University Pompeu Fabra
University Carlos III de Madrid
Polytechnic University of Catalonia 
Polytechnic University of Valencia
Universitat de Vic (University of Vic)
Delft University of Technology
University of Amsterdam
Wageningen University and Research
Utrecht University
Leiden University
University of Groningen
Universidad de Buenos Aires (UBA)
LOMONOSOV MOSCOW STATE UNIVERSITY
University of Copenhagen
Technical University of Denmark
KU Leuven
Ghent University
Lund University
KTH Royal Institute of Technology
Uppsala University
Chalmers University of Technology
Stockholm University
University of Gothenburg
Karolinska Institute
"Trinity College Dubliln, The University of Dublin"
University of Helsinki
Aalto University
University of Oslo
Univesidade de Dao Paulo
Pontificia Universidad Catolica de Chile (UC)
Politecnico di Milano
University of Vienna
The Hebrew University of Jerusalem
