School name
Indian Institute of Technology Bombay (IITB)
"Indian Institute of Science (IISc), Bangalore"
Indian Institute of Technology Delhi (IITD)
Indian Institute of Technology Madras (IITM)
Indian Institute of Technology Kharagpur (IIT-KGP)
Indian Institute of Technology Kanpur (IITK)
Indian Institute of Technology Roorkee (IITR)
Indian Institute of Technology Guwahati (IITG)
University of Delhi
Indian Institute of Technology Hyderabad
Jadavpur University
O.P. Jindal Global University (JGU)
Savitribai Phule Pune University
University of Hyderabad
Jamia Millia Islamia (JMI)
Manipal Academy of Higher Education
Aligarh Muslim University (AMU)
Amrita Vishwa Vidyapeetham
Anna University
"Banaras Hindu University, Varanasi (BHU)"
University of Calcutta
Bharathiar University?
"All India Institute of Medical Sciences (AIIMS), New Delhi"
Jawaharlal Nehru University
Indian Institute of Technology Indore
