School name
The University of Hong Kong
The Hong Kong University of Science and Technology
The Chinese University of Hong Kong
City University of Hong Kong
The Hong Kong Polytechnic University
Hong Kong Baptist University
The Open University of Hong Kong
The Education University of Hong Kong
Lingnan University
Hong Kong Shue Yan University
The Hang Seng University of Hong Kong
