School name
Capilano University
Emily Carr University of Art and Design
Kwantlen Polytechnic University
Royal Roads University
Simon Fraser University
Thompson Rivers University
University of British Columbia
University of Victoria
University of the Fraser Valley
University of Northern British Columbia
Vancouver Island University
Alberta University of the Arts
Athabasca University
MacEwan University
Mount Royal University
University of Alberta
University of Calgary
University of Lethbridge
University of Regina
University of Saskatchewan
Brandon University
University College of the North
University of Manitoba
University of Winnipeg
Algoma University
Brock University
Carleton University
Lakehead University
Laurentian University
McMaster University
Nipissing University
Ontario College of Art and Design University
Queen's University at Kingston
Royal Military College of Canada
Ryerson University
Trent University
Universite de I'Ontario francais
University of Guelph
Ontario Tech University
University of Ottawa
University of Toronto
University of Waterloo
University of Western Ontario
University of Windsor
Wilfrid Laurier University
York University
Bishop's University
Concordia University
Ecole de technologie superieure
Ecole nationale d'administration publique
Institut national de la recherche scientifique
McGill University
Universite de Montreal
Universite de Sherbrookes
Universite du Quebec en Abitibi-Temiscamingue
Universite du Quebec en Outaouais
Universite du Quebec a Chicoutimi
Universite du Quebec a Montreal 
Universite du Quebec a Rimouski
Universite du Quebec a Trois-Rivieres
Universite Laval
Memorial University of Newfoundland
Mount Allison University
St. Thomas University
University of New Brunswick
Universite de Moncton
Acadia University
Cape Breton University
Dalhousie University
Mount Saint Vincent University
Nova Scotia College of Art and Design University
Saint Francis Xavier University
Saint Mary's University
Universite Sainte-Anne
Uniersity of King's College
University of Prince Edward Island
Yukon University
